"PageLikes","PostType","ContentCategory","Month","Weekday","Hour","PaidAd","TotalReach","TotalImpressions","EngagedUsers","Comments","Likes","Shares","Interactions"
139441,"Photo","product",12,4,3,"No",2752,5091,178,4,79,17,100
139441,"Status","product",12,3,10,"No",10460,19057,1457,5,130,29,164
139441,"Photo","inspiration",12,3,3,"No",2413,4373,177,0,66,14,80
139441,"Photo","product",12,2,3,"No",7244,13594,671,19,325,49,393
139441,"Status","product",12,1,9,"No",10472,20849,1191,1,152,33,186
139441,"Photo","inspiration",12,1,3,"Yes",11692,19479,481,3,249,27,279
139441,"Photo","inspiration",12,7,9,"Yes",13720,24137,537,0,325,14,339
139441,"Status","product",12,7,3,"No",11844,22538,1530,0,161,31,192
139441,"Photo","inspiration",12,6,10,"No",4694,8668,280,3,113,26,142
139441,"Photo","product",12,5,10,"No",3112,5590,208,0,88,18,106
139441,"Photo","product",12,5,10,"No",2847,5133,193,0,90,14,104
139441,"Photo","product",12,5,3,"No",2549,4896,249,5,137,10,152
138414,"Photo","product",12,4,5,"Yes",22784,39941,887,2,577,20,599
138414,"Status","product",12,3,10,"No",10060,19680,1264,4,86,18,108
138414,"Photo","inspiration",12,3,3,"No",1722,2981,163,2,40,12,54
138414,"Status","inspiration",12,2,3,"No",3930,7509,130,4,54,17,75
138414,"Photo","inspiration",12,1,11,"No",1591,2825,121,0,34,8,42
138414,"Photo","product",12,1,3,"No",2848,5066,200,3,66,12,81
138414,"Photo","action",12,7,10,"No",1384,2467,15,0,0,0,0
138414,"Link","action",12,7,10,"No",3454,6853,118,0,16,2,18
138414,"Photo","inspiration",12,7,3,"No",2723,4888,176,0,72,24,96
138414,"Status","product",12,6,10,"No",8488,15294,1341,3,99,19,121
138458,"Status","product",12,6,3,"No",8284,15104,1521,0,88,18,106
138458,"Status","product",12,5,11,"No",19552,34143,2806,10,412,72,494
138458,"Photo","inspiration",12,5,3,"No",2478,4306,212,0,100,17,117
138895,"Video","action",12,4,11,"Yes",36208,61262,1141,18,143,13,174
138895,"Photo","product",12,4,2,"No",4940,9390,385,33,107,22,162
138895,"Photo","product",12,3,10,"No",1683,2929,192,1,27,11,39
138895,"Photo","inspiration",12,3,3,"No",5280,9578,368,2,155,47,204
138895,"Photo","inspiration",12,2,9,"No",3002,5318,268,4,98,23,125
138895,"Photo","action",12,2,3,"No",3766,7149,298,2,56,17,75
138895,"Photo","product",12,1,11,"No",4512,7808,423,6,172,21,199
138895,"Photo","inspiration",12,1,3,"No",2690,4628,252,0,96,17,113
138895,"Photo","action",12,7,10,"Yes",19800,28663,479,16,76,8,100
138895,"Photo","action",12,7,3,"No",3290,6085,306,1,44,14,59
138895,"Status","product",12,6,11,"No",13280,24198,2055,7,216,39,262
138895,"Link","action",12,6,3,"Yes",18480,28438,517,6,187,18,211
138353,"Link","action",12,5,3,"Yes",2645,4270,134,7,29,10,46
138353,"Photo","action",12,4,11,"No",4284,8387,355,0,47,11,58
138353,"Link","action",12,4,3,"Yes",7968,13023,206,4,57,10,71
138353,"Link","action",12,3,2,"No",1925,3481,97,6,18,8,32
138353,"Photo","action",12,2,11,"No",3786,7329,338,0,77,15,92
138353,"Link","action",12,2,2,"No",1536,3094,84,1,12,1,14
138353,"Photo","product",11,1,9,"No",1728,3155,108,1,48,9,58
